iter	Passed	Remaining
569	6617	4992
570	6628	4979
571	6639	4968
572	6650	4955
573	6660	4943
574	6671	4931
575	6682	4919
576	6694	4907
577	6705	4895
578	6715	4883
579	6725	4870
580	6736	4858
581	6747	4846
582	6757	4833
583	6768	4821
584	6779	4809
585	6791	4798
586	6804	4787
587	6819	4778
588	6831	4767
589	6845	4756
590	6860	4747
591	6871	4735
592	6884	4725
593	6897	4714
594	6907	4701
595	6918	4689
596	6928	4677
597	6939	4665
598	6950	4653
599	6960	4640
600	6971	4628
601	6981	4615
602	6992	4603
603	7003	4591
604	7013	4578
605	7023	4566
606	7033	4554
607	7045	4542
608	7056	4530
609	7066	4517
610	7076	4505
611	7086	4492
612	7096	4480
613	7106	4467
614	7116	4455
615	7126	4442
616	7137	4430
617	7147	4417
618	7157	4405
619	7167	4393
620	7177	4380
621	7188	4368
622	7198	4355
623	7208	4343
624	7218	4331
625	7228	4318
626	7239	4306
627	7249	4294
628	7259	4281
629	7270	4269
630	7281	4257
631	7291	4245
632	7301	4233
633	7311	4220
634	7321	4208
635	7331	4196
636	7341	4183
637	7351	4171
638	7362	4159
639	7372	4146
640	7383	4135
641	7394	4123
642	7404	4110
643	7415	4099
644	7426	4087
645	7436	4075
646	7447	4063
647	7458	4051
648	7468	4039
649	7479	4027
650	7489	4015
651	7500	4003
652	7510	3991
653	7520	3978
654	7531	3966
655	7542	3955
656	7553	3943
657	7565	3931
658	7575	3920
659	7585	3907
660	7595	3895
661	7603	3882
662	7612	3869
663	7621	3856
664	7630	3843
665	7639	3831
666	7647	3818
667	7656	3805
668	7665	3792
669	7674	3779
670	7682	3766
671	7691	3754
672	7700	3741
673	7709	3729
674	7718	3716
675	7728	3704
676	7737	3691
677	7746	3678
678	7755	3666
679	7764	3653
680	7774	3641
681	7783	3629
682	7792	3616
683	7801	3604
684	7811	3591
685	7821	3579
686	7830	3567
687	7839	3555
688	7849	3543
689	7859	3531
690	7869	3518
691	7878	3506
692	7888	3494
693	7897	3482
694	7907	3470
695	7916	3457
696	7925	3445
697	7935	3433
698	7945	3421
699	7955	3409
700	7964	3397
701	7974	3385
702	7984	3373
703	7993	3360
704	8016	3354
705	8026	3342
706	8036	3330
707	8046	3318
708	8056	3306
709	8066	3294
710	8076	3282
711	8087	3271
712	8098	3259
713	8110	3248
714	8121	3237
715	8132	3225
716	8143	3214
717	8154	3202
718	8165	3191
719	8177	3180
720	8188	3168
721	8199	3156
722	8208	3145
723	8218	3133
724	8227	3120
725	8238	3109
726	8247	3097
727	8257	3085
728	8268	3073
729	8278	3062
730	8289	3050
731	8298	3038
732	8308	3026
733	8317	3014
734	8326	3002
735	8337	2990
736	8346	2978
737	8356	2966
738	8367	2955
739	8376	2943
740	8386	2931
741	8396	2919
742	8405	2907
743	8415	2895
744	8425	2883
745	8434	2871
746	8444	2860
747	8454	2848
748	8464	2836
749	8474	2824
750	8484	2813
751	8494	2801
752	8505	2789
753	8515	2778
754	8525	2766
755	8535	2754
756	8546	2743
757	8555	2731
758	8566	2719
759	8575	2708
760	8585	2696
761	8596	2684
762	8606	2673
763	8616	2661
764	8626	2649
765	8636	2638
766	8646	2626
767	8656	2614
768	8667	2603
769	8678	2592
770	8689	2580
771	8699	2569
772	8709	2557
773	8719	2545
774	8729	2534
775	8740	2522
776	8750	2511
777	8761	2499
778	8770	2488
779	8781	2476
780	8791	2465
781	8801	2453
782	8811	2442
783	8822	2430
784	8833	2419
785	8844	2408
786	8854	2396
787	8865	2385
788	8876	2373
789	8886	2362
790	8896	2350
791	8907	2339
792	8916	2327
793	8927	2316
794	8938	2304
795	8948	2293
796	8959	2281
797	8969	2270
798	8986	2260
799	8998	2249
800	9009	2238
801	9020	2226
802	9030	2215
803	9040	2203
804	9050	2192
805	9060	2180
806	9070	2169
807	9081	2157
808	9092	2146
809	9103	2135
810	9113	2123
811	9123	2112
812	9134	2100
813	9144	2089
814	9154	2078
815	9164	2066
816	9175	2055
817	9186	2043
818	9196	2032
819	9207	2021
820	9217	2009
821	9227	1998
822	9238	1986
823	9248	1975
824	9258	1963
825	9269	1952
826	9279	1941
827	9290	1929
828	9300	1918
829	9311	1907
830	9322	1895
831	9332	1884
832	9343	1873
833	9355	1862
834	9383	1854
835	9394	1843
836	9406	1831
837	9417	1820
838	9428	1809
839	9439	1797
840	9450	1786
841	9462	1775
842	9473	1764
843	9483	1752
844	9494	1741
845	9505	1730
846	9516	1718
847	9526	1707
848	9537	1696
849	9547	1684
850	9558	1673
851	9569	1662
852	9579	1650
853	9590	1639
854	9600	1628
855	9610	1616
856	9621	1605
857	9631	1594
858	9643	1582
859	9654	1571
860	9665	1560
861	9677	1549
862	9688	1538
863	9699	1526
864	9710	1515
865	9721	1504
866	9732	1492
867	9743	1481
868	9753	1470
869	9764	1459
870	9775	1447
871	9787	1436
872	9798	1425
873	9809	1414
874	9819	1402
875	9830	1391
876	9840	1380
877	9851	1368
878	9862	1357
879	9872	1346
880	9884	1335
881	9895	1323
882	9905	1312
883	9917	1301
884	9928	1290
885	9939	1278
886	9950	1267
887	9961	1256
888	9971	1245
889	9983	1233
890	9993	1222
891	10003	1211
892	10014	1199
893	10025	1188
894	10036	1177
895	10047	1166
896	10058	1154
897	10068	1143
898	10079	1132
899	10090	1121
900	10101	1109
901	10112	1098
902	10123	1087
903	10134	1076
904	10144	1064
905	10154	1053
906	10165	1042
907	10176	1031
908	10186	1019
909	10198	1008
910	10208	997
911	10219	986
912	10230	974
913	10241	963
914	10252	952
915	10263	941
916	10273	929
917	10284	918
918	10295	907
919	10306	896
920	10316	884
921	10328	873
922	10339	862
923	10350	851
924	10361	840
925	10372	828
926	10382	817
927	10393	806
928	10404	795
929	10415	783
930	10425	772
931	10436	761
932	10446	750
933	10457	738
934	10467	727
935	10478	716
936	10489	705
937	10499	694
938	10510	682
939	10520	671
940	10530	660
941	10541	649
942	10551	637
943	10561	626
944	10572	615
945	10582	604
946	10592	592
947	10603	581
948	10614	570
949	10625	559
950	10635	548
951	10645	536
952	10656	525
953	10666	514
954	10676	503
955	10687	491
956	10699	480
957	10710	469
958	10721	458
959	10732	447
960	10742	435
961	10753	424
962	10763	413
963	10774	402
964	10784	391
965	10795	379
966	10805	368
967	10815	357
968	10826	346
969	10836	335
970	10846	323
971	10856	312
972	10867	301
973	10878	290
974	10888	279
975	10899	268
976	10909	256
977	10919	245
978	10930	234
979	10940	223
980	10951	212
981	10962	200
982	10972	189
983	10983	178
984	10993	167
985	11003	156
986	11014	145
987	11024	133
988	11034	122
989	11045	111
990	11056	100
991	11066	89
992	11077	78
993	11087	66
994	11098	55
995	11108	44
996	11119	33
997	11129	22
998	11139	11
999	11150	0
